Gene,Treatment1,Treatment2,Treatment3,Vector1,Vector2,Vector3,KO1,KO2,KO3,WT1,WT2,WT3
PRPF40B,9.503572073,9.164977444,9.478590575,9.61067616,9.781457365,9.837964171,9.35082696,9.364246704,9.205831798,9.715703421,9.939599033,9.915154763
PRDM4,11.65743568,11.93902713,11.55231093,11.7422547,11.6140729,11.69479114,12.02602395,12.14262054,12.02400648,11.79256967,11.82031495,11.83693185
CLEC2B,6.577441876,6.481355422,6.42195067,6.267580236,6.081643558,5.779467143,6.870807066,7.086148958,6.881272683,7.608093576,7.744912199,7.757899204
COQ5,10.8870297,11.04568685,10.95756972,10.91216221,10.81769994,10.88045703,10.66462263,10.59222985,10.52026046,10.35125965,10.52263112,10.45639
SELPLG,9.125780233,8.340954185,9.349722133,8.445053677,8.195870053,8.293975613,8.124343842,8.158575683,7.986163751,8.537438966,8.53707818,8.781384769
CORO1C,14.19549533,14.51163242,14.12452465,14.33501776,14.42490795,14.374505,14.2676135,14.32114454,14.29246166,14.01575824,14.18770427,13.99481395
ASIC1,5.965474172,5.052709208,5.397812328,6.040305881,6.780756929,6.448498043,5.518484855,5.55433843,5.646003196,6.376536092,6.753323505,6.459490151
TSPAN11,7.913807013,6.897144015,7.634709868,6.759408481,6.764253627,7.292464511,5.993328103,6.140221494,6.245285095,8.891019579,9.601596855,9.368455329
KCTD10,12.55712744,12.58473475,12.54838877,12.44246803,12.33277256,12.39955953,12.53248825,12.58588834,12.58311055,12.56446565,12.65571374,12.69774906
SLC11A2,11.82106022,11.87952194,11.58715781,12.47059467,12.52944324,12.43164434,12.92367466,13.10743478,12.87060065,12.56155931,12.70083235,12.56479325
MVK,11.37490857,11.50272964,11.61658996,11.25174974,10.82058808,11.00908061,10.37147291,10.33228851,10.30511192,10.75851466,10.92523864,10.84527984
CSRNP2,11.02708266,10.8227766,10.7453558,11.12916786,11.06829709,11.14831853,11.86103796,11.88402197,11.74778093,11.30619779,11.36222354,11.3655982
CAMKK2,12.16162627,11.86522708,11.97399616,12.37524484,12.6170384,12.52757948,12.32510667,12.34327609,12.12822756,12.18533034,12.44817908,12.26731448
IL23A,6.058061934,6.520394272,6.280106428,5.892329795,6.109659241,5.882901996,9.733069984,9.527666232,9.556416582,6.401379759,6.628547548,6.539522556
PTGES3,14.27585574,14.54124938,14.23987875,14.17239876,13.98086442,14.02027108,14.44264911,14.51594775,14.4834283,14.1705941,14.27511877,14.1172203
BCL7A,8.580757318,8.653464164,8.450602251,9.332524116,9.41154469,9.439759869,8.809378544,8.82345349,8.599375289,8.159253117,8.566841605,8.3718516
LIN7A,4.376859979,4.654873811,4.665485338,5.37152372,5.450813696,5.387392026,5.518484855,5.815376403,5.472550838,5.538827458,5.372420212,5.335232587
ACSS3,10.80931269,10.56417623,10.52286411,10.50506475,10.55525017,10.59811464,11.03080282,11.17563034,10.89490512,10.9754437,11.14554169,11.03902195
TENC1,11.17398519,10.75976849,11.19379032,11.38334038,11.50280777,11.43810723,10.78405516,10.84182225,10.88185653,11.85983403,11.92043958,11.99923294
GLI1,7.785084857,7.167952009,7.763388324,8.652213642,9.073082378,9.014865876,8.581182026,8.902157483,8.47008722,9.214619986,9.485468124,9.148902181
PPM1H,9.695162033,9.535543685,9.779261657,8.331608314,8.515091711,8.15088747,7.816255068,7.572975892,7.470861344,7.944599765,7.867557492,7.801990749
METAP2,12.66805796,12.94449377,12.69064061,12.53777121,12.32160412,12.37797941,12.68470634,12.76024318,12.78605535,12.53299386,12.56162325,12.55775574
ELK3,12.93988975,12.98857216,12.79001056,13.39138178,13.40535883,13.41691734,13.57140334,13.77822412,13.64036436,13.54398122,13.65941679,13.45134014
